timestamp,cycle,mode,episode_in_mode,total_reward,steps,v_out_mean
1768418211,3,train,75,2.0,204,-63.04613494873047
1768418246,3,train,76,2.0,226,-63.33107376098633
1768418277,3,train,77,2.0,202,-62.19472885131836
1768418308,3,train,78,2.0,200,-63.67760467529297
1768418339,3,train,79,2.0,202,-62.22321319580078
1768418371,3,train,80,2.0,209,-61.35620880126953
1768418403,3,train,81,2.0,202,-61.418296813964844
1768418442,3,train,82,3.0,255,-62.89263916015625
1768418481,3,train,83,3.0,250,-63.42071533203125
1768418502,3,train,84,0.0,135,-64.52779388427734
1768418533,3,train,85,2.0,205,-63.23294448852539
1768418564,3,train,86,2.0,197,-62.296390533447266
1768418595,3,train,87,2.0,202,-62.1240348815918
1768418633,3,train,88,3.0,248,-62.97911834716797
1768418666,3,train,89,2.0,214,-63.63077163696289
1768418692,3,train,90,0.0,165,-63.28310012817383
1768418734,3,train,91,3.0,269,-62.90340042114258
1768418765,3,train,92,2.0,205,-62.13267517089844
1768418789,3,train,93,1.0,156,-63.630680084228516
1768418823,3,train,94,2.0,221,-63.57679748535156
1768418862,3,train,95,3.0,250,-62.92304611206055
1768418894,3,train,96,2.0,206,-63.02744674682617
1768418927,3,train,97,2.0,213,-63.51468276977539
1768418961,3,train,98,2.0,224,-64.3460464477539
1768418983,3,train,99,0.0,141,-64.08750915527344
1768418983,3,train_cycle_avg,-1,1.99,209,-62.818801155090334
1768419007,3,test,0,2.0,206,-62.008628845214844
1768419031,3,test,1,2.0,202,-61.805171966552734
1768419060,3,test,2,3.0,252,-61.95737075805664
1768419084,3,test,3,2.0,206,-61.54845428466797
1768419113,3,test,4,3.0,251,-62.07697296142578
1768419136,3,test,5,2.0,200,-61.980411529541016
1768419166,3,test,6,3.0,251,-62.04183578491211
1768419189,3,test,7,2.0,200,-62.11408233642578
1768419212,3,test,8,2.0,201,-62.20595932006836
1768419241,3,test,9,3.0,246,-61.88378143310547
1768419270,3,test,10,3.0,248,-62.24937438964844
1768419294,3,test,11,2.0,208,-61.9376335144043
1768419323,3,test,12,3.0,248,-62.06659698486328
1768419346,3,test,13,2.0,200,-62.0335578918457
1768419370,3,test,14,2.0,204,-62.01081466674805
1768419399,3,test,15,3.0,248,-61.92652893066406
1768419423,3,test,16,2.0,208,-61.860816955566406
1768419452,3,test,17,3.0,249,-62.17612075805664
1768419475,3,test,18,2.0,201,-61.97203826904297
1768419499,3,test,19,2.0,200,-62.02683639526367
1768419527,3,test,20,3.0,247,-61.94941711425781
1768419551,3,test,21,2.0,203,-62.08084487915039
1768419581,3,test,22,3.0,256,-61.93300247192383
